Elapsed Time (s),n2dRaw,t,n2d
164737.674324989,270362496316577,,
164739.407694578,277286429195139,,
164741.19663167,280021569857842,,
164742.907734633,275515039152818,,
164744.696411133,273966378667121,,
164746.651847124,271199031244014,,
164748.677818775,279991588468933,,
164750.573445559,282685560312418,,
164752.367418051,280752734612880,,
164754.303839207,284664667978929,,
164755.97273159,282766985823847,,
164757.661395311,280503587880058,,
164759.496911526,285071452484924,,
164761.176381588,287273430420857,,
164762.849270582,286203195979052,,
164764.636006355,294869003639297,,
164766.304408789,297012849187871,,
164768.154649973,290870221954398,,
164769.889980078,290881778701355,,
164771.597504139,285525809661874,,
164773.486749411,289841861245910,,
164775.154811144,289035921236595,,
164776.858553886,284229212847383,,
164778.653935909,287925260232774,,
164780.366491556,288582299200963,,
164782.176580906,284492120267426,,
164783.91024518,280572932822255,,
164785.696378946,279366983562136,,
164787.407386541,276659305638213,,
164789.282625675,284182845037411,,
164791.133950472,286877657633809,,
164792.911890507,288322031892449,,
164794.643577576,285965366698739,,
164796.328778505,289095792770260,,
164798.136237144,291844129345819,,
164799.878709078,287592426230795,,
164801.656594992,281768410780927,,
164803.358698607,284838965686386,,
164805.070557117,280404840731526,,
164806.876863241,274888549111784,,
164808.582197189,277265195625801,,
164810.433354855,288487486274579,,
164812.106865644,283230171444705,,
164813.802853823,279375134032924,,
164815.570336103,280788676176566,,
164817.262238979,282251591290374,,
164819.08797884,277049717210440,,
164820.761244774,279376049973557,,
164822.515304804,284971566169454,,
164824.320663452,281353902382930,,
164825.974223614,284235346373343,,
164827.766360283,287879968324077,,
164829.471346855,286247878074600,,
164831.122265577,280853143880476,,
164832.906823874,286635268896929,,
164834.574915409,291401093738725,,
164836.377859116,279681552256105,,
164838.079607725,278991533055475,,
164839.774531126,284074757870606,,
164841.55566597,289418346583499,,
164843.276290178,285435382990680,,
164845.976480722,279426859866695,,
164847.689809084,282919647048005,,
164849.536564112,285874691878932,,
164851.403327227,289127481995839,,
164853.080336809,286514125222785,,
164854.884222508,275032895600969,,
164856.613590956,272109892544697,,
164858.281375647,274403813099950,,
164860.092425108,276347858788153,,
164861.76856184,276470598551158,,
164863.499569654,276547030110138,,
164865.295464993,280198510087467,,
164867.028919697,285652788606727,,
164868.802716494,285791011169084,,
164870.481865168,283844335971015,,
164872.166842461,281480979320694,,
164874.04097867,280948079772688,,
164875.735676527,283125818823045,,
164877.410765886,285275528554793,,
164879.274988651,286691054953292,,
164880.981268883,287064678360621,,
164882.791748524,278502509642092,,
164884.536057234,278987975291600,,
164886.342895508,295261812182648,,
164888.092153788,298897684114638,,
164889.801007032,294053373994662,,
164891.59280467,289806894803734,,
164893.35960865,290254861544611,,
164895.14939332,299008133241550,,
164896.969868422,302102664063898,,
164898.701789618,290884432819932,,
164900.482546806,291523963314842,,
164902.263123274,287914039604531,,
164904.047357798,281945125282875,,
164905.74506259,285396519512881,,
164907.46767807,287197767742977,,
164909.346747875,277575094133898,,
164911.120253801,276364987751678,,
164912.886339188,277210252905070,,
164914.666546345,274087399177637,,
164916.372986794,276273700486451,,
164918.184836388,277524572504715,,
164919.848036051,282550784627517,,
164921.58814764,283675224907612,,
164923.39294219,283511907924366,,
164925.087908745,281331657743750,,
164926.9158988,282129385786123,,
164928.638909578,281117635009846,,
164930.328514814,280043624506244,,
164932.173704386,282157422524401,,
164933.873600006,283783423046171,,
164935.71596694,283455803380448,,
164937.387951851,286218455122446,,
164939.204440832,295528258901285,,
164940.881741047,291396026536471,,
164942.652724266,282929135921173,,
164944.437346935,276576574311139,,
164946.150615692,282086686356717,,
164947.849869728,285891161013769,,
164949.649299383,284026610115708,,
164951.374810219,289271993753322,,
164953.176283836,289363814586611,,
164954.818393707,279069765251788,,
164956.630806446,280362288569725,,
164958.310061455,282789100320188,,
164960.104880571,275965712595702,,
164961.797264814,274540320396065,,
164963.487734795,277229863666868,,
164965.291687489,276031080325678,,
164967.03034997,276003734883261,,
164968.977092028,274901995866863,,
164971.123404026,283021330624637,,
164972.822448492,283453354897106,,
